,Model,Brand,Fuel_type,Running_in_kms,Engine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,height,width,length,Weight,top_speed,Car_Price,Location,Car_age
3336,Polo,Volkswagen,Diesel,107499,1199,Manual,22.07,5,White,73.9,Disc,Drum,1453,1682,3970,,164,197000,Delhi_NCR,9
3337,Baleno,Maruti,Petrol,47156,1197,Manual,21.4,5,Other,83.1,Disc,Drum,1510,1745,3995,1340,180,482000,Delhi_NCR,5
3338,Ecosport,Ford,Petrol,40049,1496,Manual,15.9,5,Other,120.6,Ventilated Disc,Drum,1647,1765,3998,1660,,650000,Delhi_NCR,4
3339,Etios Cross,Toyota,Diesel,77158,1364,Manual,23.59,5,White,67.06,Ventilated Disc,Drum,1555,1735,3895,,160,405000,Delhi_NCR,7
3340,Ecosport,Ford,Diesel,32657,1498,Manual,23,5,Silver,98.96,Ventilated Disc,Drum,1647,1765,3998,1690,,684000,Delhi_NCR,4
3341,Polo,Volkswagen,Petrol,13739,999,Manual,17.74,5,White,75.1,Disc,Drum,1469,1682,3971,1500,,590000,Delhi_NCR,3
3342,Swift,Maruti,Diesel,53690,1248,Manual,25.2,5,Grey,74,Ventilated Disc,Drum,1530,1735,3840,1405,155,430000,Delhi_NCR,6
3343,Alto K10,Maruti,Petrol,44973,998,Manual,23.95,5,White,67.05,Ventilated Disc,Drum,1475,1515,3545,1210,145,345000,Delhi_NCR,3
3344,EON,Hyundai,Petrol,75986,814,Manual,22,5,Silver,55,Disc,Drum,1500,1550,3495,,,158000,Delhi_NCR,10
3345,i20,Hyundai,Diesel,134322,1396,Manual,21.27,5,White,88.76,Disc,Disc,1505,1710,3995,,,360000,Delhi_NCR,7
3346,Swift,Maruti,Diesel,76418,1248,Manual,25.2,5,Silver,74,Ventilated Disc,Drum,1530,1735,3840,1405,155,385000,Delhi_NCR,6
3347,Swift Dzire,Maruti,Petrol,56635,1197,Manual,19.1,5,White,85.8,Ventilated Disc,Drum,1555,1695,3995,1415,169,451000,Delhi_NCR,7
3348,i20 Active,Hyundai,Diesel,43796,1396,Manual,21.19,5,Red,88.73,Disc,Drum,1555,1760,3995,,165,450000,Delhi_NCR,6
3349,Ciaz,Maruti,Diesel,43248,1248,Manual,26.21,5,Other,88.5,Ventilated Disc,Drum,1485,1730,4490,1585,160,543000,Delhi_NCR,7
3350,Alto 800,Maruti,Petrol,49645,796,Manual,24.7,5,White,47.3,Disc,Drum,1475,1490,3430,1185,140,297000,Delhi_NCR,3
3351,Verna,Hyundai,Petrol,87136,1591,Manual,17.1,5,Other,121.3,Disc,Disc,1475,1700,4370,,,354000,Delhi_NCR,10
3352,Swift,Maruti,Diesel,55539,1248,Manual,22.9,5,Other,74,Ventilated Disc,Drum,1530,1695,3850,1505,158,312000,Delhi_NCR,8
3353,Grand i10,Hyundai,Petrol,54147,1197,Manual,18.9,5,Silver,82,Disc,Drum,1520,1660,3765,,165,355000,Delhi_NCR,7
3354,Amaze,Honda,Petrol,24667,1198,Manual,17.8,5,Silver,86.7,Disc,Drum,1505,1680,3990,,140,584000,Delhi_NCR,2
3355,Alto K10,Maruti,Petrol,21200,998,Manual,23.95,5,Grey,67.05,Ventilated Disc,Drum,1475,1515,3545,1210,145,356000,Delhi_NCR,4
3356,Swift Dzire,Maruti,Diesel,118625,1248,Manual,26.59,5,Silver,74,Ventilated Disc,Drum,1555,1695,3995,1505,169,437000,Delhi_NCR,7
3357,Glanza,Toyota,Petrol,15285,1197,Automatic,19.56,5,Other,81.8,Disc,Drum,1510,1745,3995,1360,,788000,Delhi_NCR,2
3358,Swift Dzire,Maruti,Diesel,54348,1248,Manual,28.4,5,White,74.02,Disc,Drum,1515,1735,3995,1405,,565000,Delhi_NCR,3
3359,Ignis,Maruti,Petrol,5657,1197,Automatic,20.89,5,Grey,81.8,Disc,Drum,1595,1690,3700,,,590000,Delhi_NCR,2
3360,KWID,Renault,Petrol,76179,799,Manual,25.17,5,Other,53.3,Disc,Drum,1478,1579,3679,,135,223000,Delhi_NCR,5
3361,Alto K10,Maruti,Petrol,110525,998,Manual,20.92,5,Other,67.1,Ventilated Disc,Drum,1460,1475,3620,1185,,193000,Delhi_NCR,10
3362,Alto K10,Maruti,Petrol,81840,998,Manual,23.95,5,Silver,67.05,Ventilated Disc,Drum,1475,1515,3545,1210,145,174000,Delhi_NCR,10
3363,i10,Hyundai,Petrol,102452,1197,Manual,20.36,5,White,78.9,Ventilated Disc,Drum,1550,1595,3585,,,235000,Delhi_NCR,8
3364,Ecosport,Ford,Diesel,94151,1498,Manual,21.7,5,White,98.96,Ventilated Disc,Drum,1647,1765,3998,1690,,480000,Delhi_NCR,5
3365,i20,Hyundai,Petrol,36375,1197,Manual,21,5,Other,81.86,Disc,Drum,1505,1775,3995,,,562000,Delhi_NCR,4
3366,Duster,Renault,Diesel,137065,1461,Manual,20.46,5,White,83.8,Ventilated Disc,Drum,1695,1822,4315,1758,,376000,Delhi_NCR,7
3367,Ignis,Maruti,Petrol,23615,1197,Manual,20.89,5,Other,81.8,Disc,Drum,1595,1690,3700,,,470000,Delhi_NCR,4
3368,Swift,Maruti,Petrol,100380,1197,Manual,22,5,White,81.8,Disc,Drum,1530,1735,3840,1315,,365000,Delhi_NCR,6
3369,Ecosport,Ford,Diesel,85420,1498,Manual,21.7,5,White,98.96,Ventilated Disc,Drum,1647,1765,3998,1690,,492000,Delhi_NCR,7
3370,WR-V,Honda,Petrol,46250,1199,Manual,17.5,5,White,88.7,Ventilated Disc,Drum,1601,1734,3999,,164,639000,Delhi_NCR,3
3371,WR-V,Honda,Diesel,61514,1498,Manual,25.5,5,Silver,98.6,Ventilated Disc,Drum,1601,1734,3999,,176,660000,Delhi_NCR,3
3372,Grand i10,Hyundai,Petrol,32105,1197,Automatic,18.9,5,Grey,82,Disc,Drum,1520,1660,3765,,163,477000,Delhi_NCR,6
3373,Swift,Maruti,Petrol,72983,1197,Manual,22,5,Grey,81.8,Disc,Drum,1530,1735,3840,1315,,380000,Delhi_NCR,7
3374,Triber,Renault,Petrol,20015,999,Manual,20,7,Blue,72,Disc,Drum,1643,1739,3990,,,549000,Delhi_NCR,2
3375,i10,Hyundai,Petrol,105045,1197,Automatic,16.95,5,White,78.9,Ventilated Disc,Drum,1550,1595,3585,,,268000,Delhi_NCR,10
3376,Alto K10,Maruti,Petrol,23354,998,Manual,23.95,5,Grey,67.05,Ventilated Disc,Drum,1475,1515,3545,1210,145,327000,Delhi_NCR,4
3377,Grand i10,Hyundai,Diesel,81914,1120,Manual,24,5,Other,70,Disc,Drum,1520,1660,3765,,157,323000,Delhi_NCR,6
3378,Swift,Maruti,Petrol,33053,1197,Automatic,21.21,5,White,81.8,Disc,Drum,1530,1735,3840,1315,,593000,Delhi_NCR,3
3379,Celerio,Maruti,Petrol,38485,998,Manual,21.63,5,Other,67.05,Ventilated Disc,Drum,1560,1600,3695,1250,,440000,Delhi_NCR,2
3380,Swift Dzire,Maruti,Petrol,22316,1197,Manual,21.21,5,White,81.8,Disc,Drum,1515,1735,3995,1315,,590000,Delhi_NCR,3
3381,Alto 800,Maruti,Petrol,73169,796,Manual,22.74,5,Other,47.3,Disc,Drum,1475,1490,3395,1185,140,226000,Delhi_NCR,8
3382,Celerio,Maruti,Petrol,15785,998,Manual,23.1,5,White,67.04,Ventilated Disc,Drum,1565,1635,3715,1250,150,426000,Delhi_NCR,5
3383,Alto 800,Maruti,Petrol,5673,796,Manual,24.7,5,White,47.3,Disc,Drum,1475,1490,3430,1185,140,266000,Delhi_NCR,2
3384,Xcent,Hyundai,Diesel,82358,1120,Manual,24.4,5,White,71,Disc,Drum,1520,1660,3995,,156,305000,Delhi_NCR,6
3385,i20,Hyundai,Petrol,16243,1197,Manual,18.6,5,Other,81.83,Disc,Drum,1505,1734,3985,,170,734000,Delhi_NCR,3
3386,Swift Dzire,Maruti,Diesel,46509,1248,Automatic,28.4,5,Other,74.02,Disc,Drum,1515,1735,3995,1405,,512000,Delhi_NCR,4
3387,Ertiga,Maruti,Diesel,93086,,Manual,,,,,,,,,,,,530000,Delhi_NCR,6
3388,Amaze,Honda,Diesel,115872,1498,Manual,25.8,5,Silver,98.6,Disc,Drum,1505,1680,3990,,170,319000,Delhi_NCR,7
3389,Wagon R,Maruti,Petrol,14499,998,Manual,21.79,5,Silver,67.05,Disc,Drum,1675,1620,3655,1340,,470000,Delhi_NCR,2
3390,Wagon R,Maruti,Petrol,51548,998,Manual,21.79,5,Other,67.05,Disc,Drum,1675,1620,3655,1340,,238000,Delhi_NCR,8
3391,Wagon R,Maruti,Petrol,58636,998,Manual,20.51,5,Other,67.04,Ventilated Disc,Drum,1700,1495,3599,1350,152,352000,Delhi_NCR,5
3392,Amaze,Honda,Diesel,32832,1498,Manual,25.8,5,Other,98.6,Disc,Drum,1505,1680,3990,,170,273000,Delhi_NCR,8
3393,Wagon R,Maruti,Petrol,38392,998,Manual,20.51,5,White,67.04,Ventilated Disc,Drum,1700,1495,3599,1350,152,310000,Delhi_NCR,5
3394,Swift Dzire,Maruti,Petrol,93184,1197,Manual,19.1,5,White,85.8,Ventilated Disc,Drum,1555,1695,3995,1415,169,257000,Delhi_NCR,9
3395,Celerio,Maruti,Petrol,48964,998,Manual,23.1,5,Other,67.04,Ventilated Disc,Drum,1565,1635,3715,1250,150,382000,Delhi_NCR,5
3396,Ciaz,Maruti,Diesel,38438,1248,Manual,26.21,5,Other,88.5,Ventilated Disc,Drum,1485,1730,4490,1585,160,453000,Delhi_NCR,7
3397,Figo,Ford,Petrol,28638,1196,Manual,18.16,5,White,86.8,Ventilated Disc,Drum,1525,1695,3886,,157,555000,Delhi_NCR,2
3398,KWID,Renault,Petrol,68536,999,Manual,23.01,5,Silver,67,Disc,Drum,1478,1579,3679,,155,262000,Delhi_NCR,4
3399,KWID,Renault,Petrol,33051,999,Manual,23.01,5,White,67,Disc,Drum,1474,1579,3731,,,260000,Delhi_NCR,5
