,Model,Brand,Fuel_type,Running_in_kms,Engine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,height,width,length,Weight,top_speed,Car_Price,Location,Car_age
0,Wagon R,Maruti,Petrol,131125,998,Manual,21.79,5,Grey,67.05,Disc,Drum,1675,1620,3655,1340,,294000,Ahmedabad,7
1,Grand i10,Hyundai,Petrol,73875,1197,Manual,18.9,5,White,82,Disc,Drum,1520,1660,3765,,165,480000,Ahmedabad,6
2,Vento,Volkswagen,Diesel,97922,1498,Manual,22.27,5,White,108.6,Ventilated Disc,Drum,1467,1699,4390,1750,180,711000,Ahmedabad,3
3,S-Presso,Maruti,Petrol,24230,998,Manual,21.7,5,Red,67.05,Ventilated Disc,Drum,1564,1520,3565,1170,,422000,Ahmedabad,2
4,Wagon R,Maruti,Petrol,41174,998,Automatic,20.51,5,Grey,67,Ventilated Disc,Drum,1700,1495,3599,1350,152,430000,Ahmedabad,4
5,Eeco,Maruti,Petrol,57341,1196,Manual,16.11,5,White,72.42,Disc,Drum,1825,1475,3675,1510,,279000,Ahmedabad,9
6,City,Honda,Petrol,38647,1497,Manual,17,5,Other,118,Disc,Drum,1480,1695,4420,,,399000,Ahmedabad,10
7,Eeco,Maruti,Petrol,17116,1196,Manual,16.11,5,White,72.42,Disc,Drum,1825,1475,3675,1510,,472000,Ahmedabad,1
8,Eeco,Maruti,Petrol,45347,1196,Manual,15.37,5,White,73,Ventilated Disc,Drum,1800,1475,3675,1510,145,381000,Ahmedabad,5
9,Swift,Maruti,Petrol,45203,1197,Manual,20.4,5,White,81.8,Ventilated Disc,Drum,1530,1735,3840,1315,165,464000,Ahmedabad,5
10,Wagon R,Maruti,Petrol,85416,998,Manual,20.51,5,Other,67.04,Ventilated Disc,Drum,1700,1495,3599,1350,152,280000,Ahmedabad,8
11,Swift Dzire,Maruti,Diesel,80084,1248,Manual,23.4,5,Grey,74,Ventilated Disc,Drum,1555,1695,3995,1505,,340000,Ahmedabad,9
12,Eeco,Maruti,Petrol,88362,1196,Manual,16.11,5,Silver,72.42,Disc,Drum,1825,1475,3675,1510,,397000,Ahmedabad,4
13,Wagon R,Maruti,Petrol,42381,998,Manual,21.79,5,White,67.05,Disc,Drum,1675,1620,3655,1340,,329000,Ahmedabad,7
14,Swift,Maruti,Diesel,72558,1248,Manual,25.2,5,White,74,Ventilated Disc,Drum,1530,1735,3840,1405,155,382000,Ahmedabad,7
15,Swift,Maruti,Diesel,100821,1248,Manual,25.2,5,White,74,Ventilated Disc,Drum,1530,1735,3840,1405,155,304000,Ahmedabad,7
16,SX4 S Cross,Maruti,Diesel,86698,1248,Manual,25.1,5,Silver,88.5,Disc,Disc,1595,1785,4300,1670,164,660000,Ahmedabad,4
17,Innova,Toyota,Diesel,147234,2494,Manual,12.99,8,Silver,100,Ventilated Disc,Leading-Trailing Drum,1760,1760,4585,2300,,567000,Ahmedabad,9
18,City,Honda,Diesel,70012,1498,Manual,26,5,White,98.6,Disc,Drum,1495,1695,4440,,175,742000,Ahmedabad,4
19,i20,Hyundai,Diesel,70279,1396,Manual,22.54,5,White,88.73,Disc,Drum,1505,1734,3985,,180,314000,Ahmedabad,7
20,Wagon R,Maruti,Petrol,60722,998,Manual,20.51,5,White,67.04,Ventilated Disc,Drum,1700,1495,3599,1350,152,267000,Ahmedabad,10
21,Eeco,Maruti,Petrol,14161,1196,Manual,15.37,5,White,73,Ventilated Disc,Drum,1800,1475,3675,1510,145,457000,Ahmedabad,2
22,Swift Dzire,Maruti,Petrol,9379,1197,Manual,21.21,5,White,81.8,Disc,Drum,1515,1735,3995,1315,,684000,Ahmedabad,2
23,Swift,Maruti,Diesel,31824,1248,Manual,28.4,5,Red,74,Disc,Drum,1530,1735,3840,1405,,585000,Ahmedabad,3
24,Swift,Maruti,Diesel,72301,1248,Manual,22.9,5,White,74,Ventilated Disc,Drum,1530,1695,3850,1505,,399000,Ahmedabad,8
25,Swift Dzire,Maruti,Petrol,11935,1197,Manual,21.21,5,Grey,81.8,Disc,Drum,1515,1735,3995,1315,,695000,Ahmedabad,2
26,Wagon R,Maruti,Petrol,43242,998,Manual,20.51,5,White,67.04,Ventilated Disc,Drum,1670,1475,3636,1350,152,387000,Ahmedabad,4
27,Terrano,Nissan,Diesel,74555,1461,Manual,20.45,5,Black,83.8,Disc,Drum,1671,2000,4331,1764,156,470000,Ahmedabad,5
28,Wagon R,Maruti,Petrol,10371,998,Manual,21.79,5,White,67.05,Disc,Drum,1675,1620,3655,1340,,507000,Ahmedabad,1
29,Innova,Toyota,Diesel,94754,2494,Manual,12.99,8,Silver,100,Ventilated Disc,Leading-Trailing Drum,1760,1760,4585,2300,,670000,Ahmedabad,8
30,Amaze,Honda,Petrol,59642,1198,Manual,17.8,5,Silver,86.7,Disc,Drum,1505,1680,3990,,140,553000,Ahmedabad,4
31,Baleno,Maruti,Petrol,49072,1197,Manual,21.01,5,Blue,81.8,Disc,Drum,1510,1745,3995,1340,,610000,Ahmedabad,4
32,Swift Dzire,Maruti,Diesel,54419,1248,Manual,26.59,5,White,74,Ventilated Disc,Drum,1555,1695,3995,1505,169,491000,Ahmedabad,6
33,Alto K10,Maruti,Petrol,89579,998,Manual,20.92,5,White,67.1,Ventilated Disc,Drum,1460,1475,3620,1185,,177000,Ahmedabad,9
34,Wagon R,Maruti,Petrol,81674,998,Manual,21.79,5,White,67.05,Disc,Drum,1675,1620,3655,1340,,360000,Ahmedabad,5
35,Swift Dzire,Maruti,Petrol,9718,1197,Manual,21.21,5,White,81.8,Disc,Drum,1515,1735,3995,1315,,665000,Ahmedabad,2
36,Baleno,Maruti,Petrol,34669,1197,Manual,21.01,5,Grey,81.8,Disc,Drum,1510,1745,3995,1340,,536000,Ahmedabad,4
37,Baleno,Maruti,Petrol,51205,1197,Manual,21.4,5,Blue,83.1,Disc,Drum,1510,1745,3995,1340,180,482000,Ahmedabad,5
38,Eeco,Maruti,Petrol,19627,1196,Manual,16.11,5,White,72.42,Disc,Drum,1825,1475,3675,1510,,470000,Ahmedabad,1
39,Verna,Hyundai,Diesel,65484,1582,Manual,22.32,5,White,126.3,Disc,Disc,1475,1700,4370,,190,543000,Ahmedabad,7
40,Ecosport,Ford,Diesel,42029,1498,Manual,22.77,5,Grey,98.59,Ventilated Disc,Drum,1708,1765,3999,,182,589000,Ahmedabad,5
41,City,Honda,Petrol,89144,1497,Manual,17.4,5,Other,117.6,Ventilated Disc,Drum,1495,1695,4440,1436,189,764000,Ahmedabad,3
42,Brio,Honda,Petrol,44000,1198,Manual,19.4,5,Grey,86.8,Disc,Drum,1500,1680,3610,,164,351000,Ahmedabad,8
43,Ertiga,Maruti,Diesel,33000,1248,Manual,24.52,7,White,88.5,Ventilated Disc,Drum,1685,1695,4296,,160,711000,Ahmedabad,6
44,Figo,Ford,Diesel,60000,1399,Manual,20,5,Grey,68.05,Ventilated Disc,Drum,1427,1680,3795,,,300000,Ahmedabad,6
45,Amaze,Honda,Petrol,69000,1199,Automatic,19,5,White,88.76,Disc,Drum,1501,1695,3995,,160,651000,Ahmedabad,4
46,Alto,Maruti,Petrol,28000,796,Manual,19.7,5,Beige,46.3,Disc,Drum,1460,1475,3495,1140,137,205000,Ahmedabad,11
47,Etios,Toyota,Diesel,52000,1364,Manual,23.59,5,White,67.05,Ventilated Disc,Drum,1510,1695,4369,,170,651000,Ahmedabad,3
48,i20,Hyundai,Diesel,69000,1396,Manual,22.54,5,Red,88.73,Disc,Drum,1505,1734,3985,,180,650000,Ahmedabad,4
49,i10,Hyundai,Petrol,68425,1197,Manual,20.36,5,Grey,78.9,Ventilated Disc,Drum,1550,1595,3585,,,295000,Ahmedabad,9
50,Ertiga,Maruti,Diesel,68000,1248,Manual,24.52,7,White,88.5,Ventilated Disc,Drum,1685,1695,4296,,160,691000,Ahmedabad,5
51,Verna,Hyundai,Diesel,83000,1582,Manual,22.32,5,White,126.3,Disc,Disc,1475,1700,4370,,190,540000,Ahmedabad,8
52,XUV500,Mahindra,Diesel,76000,2179,Manual,15.1,7,White,140,Disc & Caliper Type,Disc & Caliper Type,1785,1890,4585,2450,175,525000,Ahmedabad,9
53,XUV500,Mahindra,Diesel,77000,1997,Manual,16,7,Purple,140,Disc,Disc,1785,1890,4585,2510,185,890000,Ahmedabad,6
54,Creta,Hyundai,Petrol,44000,1591,Automatic,13,5,White,121.3,Disc,Drum,1630,1780,4270,,,1075000,Ahmedabad,4
55,Elantra,Hyundai,Diesel,62000,1582,Manual,22.7,5,White,126.2,Disc,Disc,1470,1775,4530,1640,191,585000,Ahmedabad,8
56,Baleno,Maruti,Petrol,28000,1197,Manual,21.01,5,Blue,81.8,Disc,Drum,1510,1745,3995,1340,,700000,Ahmedabad,3
57,Swift,Maruti,Diesel,65000,1248,Manual,25.2,5,White,74,Ventilated Disc,Drum,1530,1735,3840,1405,155,490000,Ahmedabad,7
58,Cruze,Chevrolet,Diesel,56000,1991,Manual,18.3,5,Silver,147.9,Disc,Disc,1477,1788,4597,,,350000,Ahmedabad,10
59,Vento,Volkswagen,Diesel,58248,1598,Manual,20.54,5,Silver,103.6,Disc,Drum,1466,1699,4384,1760,186,425000,Ahmedabad,8
60,E-Class,Mercedes-Benz,Diesel,19000,1950,Automatic,16.1,5,Blue,191.7,Ventilated Disc,Disc,1494,1860,5063,,240,5300000,Ahmedabad,2
61,Xcent,Hyundai,Diesel,73000,1186,Manual,25.4,5,White,73.97,Disc,Drum,1520,1660,3995,,156,424000,Ahmedabad,3
62,Jazz,Honda,Petrol,35000,1198,Manual,16,5,White,90,Disc,Drum,1535,1695,3900,,165,390000,Ahmedabad,9
63,Creta,Hyundai,Diesel,79000,1582,Automatic,17.01,5,Silver,126.2,Disc,Drum,1630,1780,4270,,190,900000,Ahmedabad,5
64,i20,Hyundai,Diesel,55000,1396,Manual,22.54,5,White,88.73,Disc,Drum,1505,1734,3985,,180,575000,Ahmedabad,5
65,3 Series,BMW,Diesel,81000,1995,Automatic,18.88,5,Brown,184,Disc,Disc,1429,2031,4624,,235,1350000,Ahmedabad,8
66,Vento,Volkswagen,Diesel,80000,1598,Manual,20.54,5,White,103.6,Disc,Drum,1466,1699,4384,1760,186,375000,Ahmedabad,9
67,Q7,Audi,Diesel,70000,2967,Automatic,12.07,7,White,241.4,Ventilated Disc,Ventilated Disc,1737,2177,5089,2995,215,2300000,Ahmedabad,7
68,Cruze,Chevrolet,Diesel,56000,1991,Manual,18.3,5,Black,147.9,Disc,Disc,1477,1788,4597,,,390000,Ahmedabad,10
69,i20,Hyundai,Diesel,56000,1396,Manual,22.54,5,White,88.73,Disc,Drum,1505,1734,3985,,180,691000,Ahmedabad,3
70,Cruze,Chevrolet,Diesel,74000,1991,Automatic,18.1,4,White,147.9,Disc,Disc,1477,1788,4597,,,390000,Ahmedabad,10
71,Innova,Toyota,Diesel,92000,2494,Manual,12.99,8,White,100.6,Ventilated Disc,Leading-Trailing Drum,1760,1765,4585,2300,155,625000,Ahmedabad,9
72,Amaze,Honda,Diesel,59000,1498,Manual,25.8,5,Grey,98.6,Disc,Drum,1505,1680,3990,,170,390000,Ahmedabad,7
73,Thar,Mahindra,Diesel,40000,2523,Manual,18.06,7,Black,63,Disc,Drum,1904,1640,3760,,150,750000,Ahmedabad,5
74,Polo,Volkswagen,Petrol,8000,999,Automatic,16.47,5,Red,108.6,Disc,Drum,1469,1682,3971,1570,,975000,Ahmedabad,0
75,i20,Hyundai,Petrol,62485,1197,Manual,18.5,5,Silver,80,Disc,Drum,1505,1710,3940,,,291000,Ahmedabad,10
76,Innova,Toyota,Diesel,82000,2494,Manual,12.99,8,White,100,Ventilated Disc,Leading-Trailing Drum,1760,1760,4585,2300,,625000,Ahmedabad,10
77,Wagon R,Maruti,Petrol,55000,1061,Manual,18.9,5,Silver,67,Ventilated Disc,Drum,1700,1475,3595,1350,,200000,Ahmedabad,13
78,Polo,Volkswagen,Petrol,54000,1198,Manual,16.47,5,White,73.9,Disc,Drum,1453,1682,3970,,162,261000,Ahmedabad,11
79,Verna,Hyundai,Diesel,55000,1582,Automatic,19.08,5,White,126.2,Disc,Drum,1475,1700,4375,,190,690000,Ahmedabad,6
80,Innova,Toyota,Diesel,80000,2494,Manual,12.99,7,Silver,100.6,Ventilated Disc,Drum,1760,1765,4585,2300,155,595000,Ahmedabad,9
81,XF,Jaguar,Diesel,41500,2179,Automatic,16.36,5,White,187.7,Disc,Disc,1460,1877,4961,2320,225,1850000,Ahmedabad,8
82,Baleno,Maruti,Diesel,65000,1248,Manual,27.39,5,Blue,74,Disc,Drum,1510,1745,3995,1430,170,575000,Ahmedabad,4
83,XUV500,Mahindra,Diesel,70105,2179,Automatic,16,7,White,140,Disc,Disc,1785,1890,4585,2510,185,850000,Ahmedabad,5
84,Figo,Ford,Diesel,55742,1399,Manual,20,5,White,68.05,Ventilated Disc,Drum,1427,1680,3795,,,271000,Ahmedabad,7
85,Wagon R,Maruti,Petrol,80000,998,Manual,18.9,5,Silver,67.1,Ventilated Disc,Drum,1700,1475,3595,1350,,125000,Ahmedabad,15
86,Jazz,Honda,Petrol,49000,1199,Automatic,18.2,5,White,88.7,Disc,Drum,1544,1694,3955,,172,550000,Ahmedabad,3
87,Innova Crysta,Toyota,Diesel,68000,2755,Automatic,11.36,7,White,171.5,Disc,Drum,1795,1830,4735,2450,,2200000,Ahmedabad,2
88,i20,Hyundai,Diesel,60000,1396,Manual,21.9,5,White,88.76,Disc,Drum,1505,1710,3995,,,285000,Ahmedabad,9
89,Yaris,Toyota,Petrol,33000,1496,Automatic,17.8,5,White,105.9,Disc,Drum,1495,1730,4425,1580,,991000,Ahmedabad,3
90,E-Class,Mercedes-Benz,Diesel,87000,2143,Automatic,14.21,5,Black,203,Ventilated Disc,Ventilated Disc,1471,1854,4868,,242,1250000,Ahmedabad,10
91,KUV 100,Mahindra,Petrol,24000,1198,Manual,18.15,6,White,82,Disc,Drum,1635,1715,3675,,160,460000,Ahmedabad,4
92,Amaze,Honda,Petrol,41632,1198,Automatic,15.5,5,White,86.7,Disc,Drum,1505,1680,3990,,160,490000,Ahmedabad,7
93,i20,Hyundai,Petrol,65514,1197,Manual,18.5,5,White,82.85,Disc,Drum,1505,1710,3995,,,500000,Ahmedabad,8
94,City,Honda,Petrol,71901,1497,Manual,17,5,White,118,Disc,Drum,1480,1695,4420,,,500000,Ahmedabad,11
95,Swift,Maruti,Petrol,52500,1197,Manual,21.21,5,Grey,81.8,Disc,Drum,1530,1735,3840,1315,,525000,Ahmedabad,4
96,Xcent,Hyundai,Petrol,39000,1197,Automatic,17.36,5,White,81.86,Disc,Drum,1520,1660,3995,,172,625000,Ahmedabad,3
97,Santa Fe,Hyundai,Diesel,57000,2199,Manual,14.66,7,White,194.3,Ventilated Disc,Disc,1760,1890,4660,,182,699000,Ahmedabad,10
98,Creta,Hyundai,Diesel,45000,1582,Automatic,17.01,5,White,126.2,Disc,Drum,1630,1780,4270,,165,1075000,Ahmedabad,4
99,Jetta,Volkswagen,Diesel,65000,1968,Automatic,16.96,5,Blue,138,Disc,Disc,1453,1778,4659,1970,207,1100000,Ahmedabad,5
100,GO Plus,Datsun,Petrol,16000,1198,Manual,19.02,7,Grey,67.05,Disc,Drum,1507,1636,3995,,,650000,Ahmedabad,3
101,Figo Aspire,Ford,Petrol,25000,1194,Manual,18.5,5,White,94.93,Ventilated Disc,Drum,1525,1704,3995,,,591000,Ahmedabad,2
102,New C-Class,Mercedes-Benz,Diesel,64000,2143,Automatic,19.27,5,Blue,170,Disc,Disc,1442,2020,4686,2135,233,2750000,Ahmedabad,5
103,SX4,Maruti,Diesel,65000,1248,Manual,21.5,5,Silver,88.8,Ventilated Disc,Drum,1550,1735,4490,,154,350000,Ahmedabad,10
104,Alto,Maruti,Petrol,66000,796,Manual,19.7,5,Silver,46.3,Disc,Drum,1460,1475,3495,1140,137,210000,Ahmedabad,9
105,Endeavour,Ford,Diesel,116000,2198,Automatic,12.62,7,White,158,Disc,Disc,1837,1860,4892,,,2350000,Ahmedabad,5
106,Etios,Toyota,Diesel,62000,1364,Manual,23.59,5,Silver,67.05,Ventilated Disc,Drum,1510,1695,4265,,170,575000,Ahmedabad,5
107,GL-Class,Mercedes-Benz,Diesel,73000,2987,Automatic,11.3,7,White,254.8,Disc,Disc,1850,2141,5120,,220,4200000,Ahmedabad,6
108,i20,Hyundai,Diesel,62000,1396,Manual,21.9,5,White,88.76,Disc,Drum,1505,1710,3995,,,365000,Ahmedabad,9
109,Swift,Maruti,Diesel,122590,1248,Manual,22.9,5,Grey,74,Ventilated Disc,Drum,1530,1695,3850,1505,158,313000,Ahmedabad,8
110,Ritz,Maruti,Diesel,109479,1248,Manual,23.2,5,Silver,73.94,Ventilated Disc,Drum,1620,1680,3775,1520,163,317000,Ahmedabad,6
111,Ertiga,Maruti,Diesel,42000,1248,Manual,24.52,7,White,88.5,Ventilated Disc,Drum,1685,1695,4296,,160,725000,Ahmedabad,5
112,Grand i10,Hyundai,Petrol,60000,1197,Manual,20.36,5,White,78.9,Ventilated Disc,Drum,1550,1595,3585,,,199000,Ahmedabad,12
113,City,Honda,Petrol,40000,1497,Automatic,18,5,White,117.6,Ventilated Disc,Drum,1495,1695,4440,1482,178,1050000,Ahmedabad,4
114,Endeavour,Ford,Diesel,87447,3198,Automatic,10.91,7,White,197,Disc,Disc,1837,1860,4892,,160,2850000,Ahmedabad,2
115,Swift Dzire,Maruti,Petrol,53000,1197,Manual,21.21,5,White,81.8,Disc,Drum,1515,1735,3995,1315,,690000,Ahmedabad,3
116,Wagon R,Maruti,Petrol,36000,998,Manual,20.51,5,Silver,67.04,Ventilated Disc,Drum,1700,1495,3599,1350,152,340000,Ahmedabad,6
117,i20,Hyundai,Diesel,45000,1396,Manual,22.54,5,White,88.73,Disc,Drum,1505,1734,3985,,180,650000,Ahmedabad,4
118,Innova Crysta,Toyota,Diesel,51000,2755,Automatic,11.36,7,Silver,171.5,Disc,Drum,1795,1830,4735,2450,,1875000,Ahmedabad,2
119,Vitara Brezza,Maruti,Diesel,34000,1248,Manual,24.3,5,Grey,88.5,Ventilated Disc,Drum,1640,1790,3995,1680,172,860000,Ahmedabad,2
120,Vento,Volkswagen,Diesel,63940,1598,Manual,20.54,5,White,103.6,Disc,Drum,1466,1699,4384,1760,186,351000,Ahmedabad,9
121,Innova,Toyota,Diesel,76000,2494,Manual,12.8,8,White,102,Ventilated Disc,Drum,1755,1770,4580,2300,151,400000,Ahmedabad,12
122,Bolero,Mahindra,Diesel,74000,2523,Manual,13.6,8,White,63,Disc,Drum,1880,1660,4170,,117,565000,Ahmedabad,3
123,Ecosport,Ford,Diesel,36000,1498,Manual,22.77,5,Orange,98.59,Ventilated Disc,Drum,1708,1765,3999,,182,675000,Ahmedabad,4
124,City,Honda,Petrol,78000,1497,Manual,17,5,Grey,118,Disc,Drum,1480,1695,4420,,,400000,Ahmedabad,10
125,Ciaz,Maruti,Petrol,81000,1373,Manual,20.73,5,Brown,91.1,Ventilated Disc,Drum,1485,1730,4490,1490,190,675000,Ahmedabad,5
126,Grand i10,Hyundai,Petrol,79000,1197,Manual,20.36,5,Silver,78.9,Ventilated Disc,Drum,1550,1595,3585,,,200000,Ahmedabad,12
127,i20 Active,Hyundai,Diesel,79000,1396,Manual,21.19,5,White,88.73,Disc,Drum,1555,1760,3995,,165,575000,Ahmedabad,6
128,Ertiga,Maruti,Diesel,65000,1248,Manual,20.77,7,Silver,88.76,Disc,Drum,1685,1695,4265,1845,160,451000,Ahmedabad,9
129,Wagon R,Maruti,LPG,78000,998,Manual,14.4,5,White,61.7,Ventilated Disc,Drum,1700,1475,3595,1350,,199000,Ahmedabad,12
130,A4,Audi,Diesel,147000,1968,Automatic,16.55,5,Black,147.5,Ventilated Disc,Disc,1427,2040,4701,2065,210,945000,Ahmedabad,10
131,Vitara Brezza,Maruti,Diesel,52793,1248,Manual,24.3,5,White,88.5,Ventilated Disc,Drum,1640,1790,3995,1680,172,770000,Ahmedabad,3
132,Endeavour,Ford,Diesel,63000,3198,Automatic,10.91,7,White,197,Disc,Disc,1837,1860,4892,,160,2450000,Ahmedabad,5
133,Swift Dzire,Maruti,Diesel,58000,1248,Manual,28.4,5,White,74.02,Disc,Drum,1515,1735,3995,1405,,690000,Ahmedabad,2
134,Q3,Audi,Diesel,60000,1968,Automatic,15.73,5,White,174.3,Ventilated Disc,Drum,1608,2019,4385,2185,212,1500000,Ahmedabad,7
135,Mobilio,Honda,Diesel,85000,1498,Manual,24.5,7,Black,98.6,Disc,Drum,1603,1683,4398,,165,575000,Ahmedabad,7
136,Vento,Volkswagen,Petrol,341000,1598,Manual,15.04,5,White,103.6,Disc,Drum,1466,1699,4384,1720,185,340000,Ahmedabad,10
137,S60,Volvo,Diesel,53000,1969,Automatic,27.03,5,Blue,190,Disc,Disc,1484,2097,4635,2060,230,2150000,Ahmedabad,3
138,Wagon R,Maruti,Petrol,59674,998,Manual,21.79,5,Silver,67.05,Disc,Drum,1675,1620,3655,1340,,200000,Ahmedabad,11
139,Venue,Hyundai,Petrol,31492,998,Manual,18.27,5,Blue,118.3,Disc,Drum,1605,1770,3995,,,970000,Ahmedabad,2
140,SX4 S Cross,Maruti,Diesel,60428,1598,Manual,22.7,5,White,118,Ventilated Disc,Disc,1590,1765,4300,1740,180,650000,Ahmedabad,6
141,Duster,Renault,Diesel,52000,1461,Manual,19.01,5,White,108.4,Ventilated Disc,Drum,1695,1822,4315,1781,,490000,Ahmedabad,8
142,Innova,Toyota,Diesel,96298,2494,Manual,12.99,7,White,100.6,Ventilated Disc,Drum,1760,1765,4585,2300,155,925000,Ahmedabad,5
143,XUV500,Mahindra,Diesel,81000,2179,Manual,16,7,White,140,Disc,Disc,1785,1890,4585,2510,185,850000,Ahmedabad,6
144,City,Honda,Petrol,55000,1497,Manual,17.8,5,Brown,117.3,Disc,Drum,1495,1695,4440,,195,650000,Ahmedabad,5
145,Endeavour,Ford,Diesel,135000,3198,Automatic,10.91,7,Silver,197.2,Disc,Disc,1837,1860,4892,,,2150000,Ahmedabad,4
146,Jazz,Honda,Petrol,6000,1199,Manual,16.6,5,Red,88.5,Disc,Drum,1544,1694,3989,,,825000,Ahmedabad,0
147,WR-V,Honda,Diesel,76000,1498,Manual,25.5,5,White,98.6,Ventilated Disc,Drum,1601,1734,3999,,176,840000,Ahmedabad,3
148,City,Honda,Diesel,63000,1498,Manual,26,5,Grey,98.6,Disc,Drum,1495,1695,4440,,190,551000,Ahmedabad,6
149,Creta,Hyundai,Diesel,64000,1582,Automatic,17.01,5,White,126.2,Disc,Drum,1630,1780,4270,,190,1150000,Ahmedabad,3
150,A Class,Mercedes-Benz,Diesel,67000,2143,Automatic,20,5,Red,107.3,Disc,Disc,1433,1780,4292,2000,190,1450000,Ahmedabad,6
151,Creta,Hyundai,Diesel,85000,1582,Automatic,17.01,5,Black,126.2,Disc,Drum,1630,1780,4270,,190,990000,Ahmedabad,5
152,Thar,Mahindra,Diesel,13395,2184,Manual,15.2,4,Black,130,Disc,Drum,1844,1855,3985,,,1584000,Ahmedabad,0
153,Baleno,Maruti,Petrol,67000,1197,Automatic,19.56,5,Blue,81.8,Disc,Drum,1510,1745,3995,1360,,690000,Ahmedabad,4
154,City,Honda,Diesel,51000,1498,Manual,26,5,Golden,98.6,Disc,Drum,1495,1695,4440,,175,551000,Ahmedabad,7
155,Ciaz,Maruti,Petrol,42000,1373,Manual,20.73,5,Grey,91.1,Ventilated Disc,Drum,1485,1730,4490,1490,190,749000,Ahmedabad,4
156,i20,Hyundai,Diesel,74000,1396,Manual,22.54,5,White,88.73,Disc,Drum,1505,1734,3985,,180,651000,Ahmedabad,4
157,WR-V,Honda,Diesel,68000,1498,Manual,25.5,5,White,98.6,Ventilated Disc,Drum,1601,1734,3999,,176,925000,Ahmedabad,2
158,i20,Hyundai,Diesel,52000,1396,Manual,22.54,5,White,88.73,Disc,Drum,1505,1734,3985,,180,575000,Ahmedabad,4
159,Swift,Maruti,Petrol,75000,1197,Manual,20.4,5,White,81.8,Ventilated Disc,Drum,1530,1735,3840,1315,165,525000,Ahmedabad,5
160,KWID,Renault,Petrol,2000,999,Automatic,22,5,White,67,Disc,Drum,1490,1579,3731,,,520000,Ahmedabad,0
161,XC60,Volvo,Diesel,114000,1984,Automatic,14.7,5,White,181,Disc,Disc,1713,2120,4627,,195,1650000,Ahmedabad,7
162,Ertiga,Maruti,Diesel,57000,1248,Manual,25.47,7,Megma Gry,88.5,Ventilated Disc,Drum,1690,1735,4395,1800,,1050000,Ahmedabad,2
163,Verna,Hyundai,Diesel,50000,1582,Automatic,22,5,Maroon,126.2,Disc,Drum,1475,1729,4440,,,1050000,Ahmedabad,3
164,Compass,Jeep,Petrol,25000,1368,Automatic,14.1,5,White,160.7,Disc,Disc,1640,1818,4395,,186,1875000,Ahmedabad,2
165,EON,Hyundai,Petrol,52200,814,Manual,21.1,5,Silver,55.2,Disc,Drum,1500,1550,3495,,135,325000,Ahmedabad,3
166,i10,Hyundai,Petrol,68000,1086,Manual,19.81,5,White,68.05,Ventilated Disc,Drum,1550,1595,3585,,165,275000,Ahmedabad,9
167,i10,Hyundai,Petrol,85000,1197,Manual,20.36,5,Red,78.9,Ventilated Disc,Drum,1550,1595,3585,,,270000,Ahmedabad,9
168,Ecosport,Ford,Diesel,57000,1498,Manual,22.77,5,Silver,98.59,Ventilated Disc,Drum,1708,1765,3999,,182,500000,Ahmedabad,6
169,Grand i10,Hyundai,Petrol,22475,1197,Manual,18.9,5,White,81.86,Disc,Drum,1520,1660,3765,,,471000,Ahmedabad,7
170,Swift Dzire,Maruti,Diesel,48000,1248,Manual,23.4,5,White,74,Ventilated Disc,Drum,1555,1695,3995,1505,,430000,Ahmedabad,7
171,Ignis,Maruti,Petrol,25000,1197,Manual,20.89,5,Grey,81.8,Disc,Drum,1595,1690,3700,,,490000,Ahmedabad,4
172,Creta,Hyundai,Diesel,81800,1582,Automatic,17.6,5,White,126.2,Disc,Drum,1665,1780,4270,,,1275000,Ahmedabad,3
173,Tiguan,Volkswagen,Diesel,101000,1968,Automatic,16.65,5,White,141,Disc,Disc,1672,1839,4486,2250,,2150000,Ahmedabad,4
174,Grand i10,Hyundai,Petrol,62429,1197,Manual,18.9,5,Red,81.86,Disc,Drum,1520,1660,3765,,,450000,Ahmedabad,6
175,BR-V,Honda,Diesel,47000,1498,Manual,21.9,7,White,98.6,Disc,Drum,1666,1735,4453,,,670000,Ahmedabad,5
176,Swift Dzire,Maruti,Diesel,66000,1248,Manual,26.59,5,White,74,Ventilated Disc,Drum,1555,1695,3995,1505,169,460000,Ahmedabad,5
177,Harrier,Tata,Diesel,10000,1956,Manual,17,5,White,167.6,Disc,Drum,1706,1894,4598,,,1875000,Ahmedabad,1
178,KWID,Renault,Petrol,43000,999,Manual,23.01,5,Silver,67,Disc,Drum,1478,1579,3679,,155,315000,Ahmedabad,3
179,Cooper Countryman,Mini,Petrol,21000,1598,Automatic,19.23,5,White,98,Disc,Drum,1561,1789,4097,1735,168,1650000,Ahmedabad,7
180,Etios,Toyota,Diesel,64000,1364,Manual,23.59,5,Silver,,,,,,,,,360000,Ahmedabad,8
181,Scala,Renault,Diesel,62000,1461,Manual,21.64,5,White,84.8,Disc,Drum,1505,1695,4425,,160,325000,Ahmedabad,6
182,KWID,Renault,Petrol,28000,799,Manual,22.3,5,Red,53.26,Disc,Drum,1474,1579,3731,,,370000,Ahmedabad,5
183,Seltos,Kia,Petrol,16000,1353,Automatic,16.8,5,Orange,138,Disc,Disc,1645,1800,4315,,,1675000,Ahmedabad,2
